1,Ford Motor Company,N/A,44551537,1357056,https://www.youtube.com/channel/UCKA96UxTdgFBwGZMGZ-135w
2,Ford India,N/A,28968205,75033,https://www.youtube.com/channel/UCV_CbM_Jy1tAsIpP8TC3FtQ
3,Motor Trend Channel,N/A,27121103,5353579,https://www.youtube.com/channel/UCsAegdhiYLEoaFGuJFVrqFQ
4,Top Gear,N/A,25853696,5550144,https://www.youtube.com/channel/UCjOl2AUblVmg2rA_cRgZkFg
5,Doug DeMuro,N/A,23263394,1091990,https://www.youtube.com/channel/UCsqjHFMB_JYTaEnf_vmTNqg
6,Moto Madness,Australia,21706690,1508035,https://www.youtube.com/channel/UC5nVgiv6elz5GnS6MTr1tVA
7,Thansis1997,N/A,19035613,306478,https://www.youtube.com/channel/UC3QR34uMm1pxfkZyUMeLhXw
8,Vehicle Virgins,United States,18275252,1073697,https://www.youtube.com/channel/UCtS0JcoBgAIEjmifiip8IJg
9,ChrisFix,United States,18188907,2783671,https://www.youtube.com/channel/UCes1EvRjcKU4sY_UEavndBw
10,petrolhead center,N/A,18080758,145991,https://www.youtube.com/channel/UCJyVgjrb0nQFdxL-3X98SfA
11,Kumho Tire USA,United States,15934707,3255,https://www.youtube.com/channel/UCiSqyZXCp_-UMKDTHd99myg
12,RCSparks Studio,Canada,15635719,1617206,https://www.youtube.com/channel/UCxcjVHL-2o3D6Q9esu05a1Q
13,Car News Central,United States,15588933,302428,https://www.youtube.com/channel/UCE1rh8YHogAaKFRaUawqL9A
14,carwow,United Kingdom,15454520,521042,https://www.youtube.com/channel/UCUhFaUpnq31m6TNX2VKVSVA
15,CAR TV,United States,14426666,443089,https://www.youtube.com/channel/UCs_gcVRMHEx5mVXfQ7icQTg
16,YOUCAR,N/A,14317402,701951,https://www.youtube.com/channel/UCW2OUlFrrWiZvSsZRwOYmNg
17,1320video,N/A,13918745,1755588,https://www.youtube.com/channel/UC0PXqiud6dbwOAk8RvslgpQ
18,TheHoonigans,United States,13810144,1160410,https://www.youtube.com/channel/UCXlfi8sf6cKGQ8sOd0-yRuw
19,Bajaj V,India,13141095,107785,https://www.youtube.com/channel/UC1nHMzSXh8ycC4FRK90Xe4g
20,Honda,N/A,12762138,283466,https://www.youtube.com/channel/UC22zQ9nBEk6KOjUWqR5XXZg
21,TheStradman,United States,12564478,669326,https://www.youtube.com/channel/UC21Kozr_K0yDM-VjoihG9Aw
22,Renault India,N/A,12462115,110941,https://www.youtube.com/channel/UCvYI7HB4z9WjJ-s5zA6WaGg
23,Gaskings,United Kingdom,12278634,578029,https://www.youtube.com/channel/UCLsj-Jd6U-ardPaXSr4g06A
24,Life is a joke,United States,12165447,92511,https://www.youtube.com/channel/UCkoBxpYBOS4Chfe_GfqCsTQ
